State,Crop,Season,Sowing_Month,Harvest_Month,Growth_Stage,Soil_Type,Water_Requirement,Fertilizer_Used,Pesticide_Used,Organic_Practice,Major_Disease
Bihar,Potato,Rabi,November,March,Vegetative,Sandy loam well-drained friable,Critical at tuber initiation and bulking,NPK 19-19-19 complex fertilizer,Carbendazim 50WP for dry rot,Trichoderma viride seed treatment,Leaf roll virus aphid transmitted
Haryana,Wheat,Kharif,July,November,Maturity,Clay loam in irrigated areas,Moderate requirement 45-65cm through season,Zinc sulphate 25kg/ha in deficient alkaline soils,Quinalphos 25EC for termite prevention,Neem-based pesticides for pest management,Karnal bunt quarantine disease
Jharkhand,Wheat,Rabi,November,March,Germination,Sandy loam with good organic content,"5-6 critical irrigations: CRI, tillering, jointing, flowering, milk, dough stages",Urea 130kg/ha for nitrogen supply,Tebuconazole 2DS for Karnal bunt,Azotobacter biofertilizer for N fixation,Black rust in warmer conditions
Puducherry,Pulses,Rabi,November,February,Germination,Clay loam in irrigated areas,Critical at flowering and pod formation,Potash 40kg/ha in deficient soils,Chlorpyrifos 20EC for various pests,Neem-based pesticides safe,Wilt Fusarium various species
Gujarat,Bajra,Kharif,July,October,Flowering,Sandy soil,Rainfed crop,DAP 80kg/ha,Neem oil for aphids,Green manuring,Ergot
Arunachal Pradesh,Rice,Zaid,March,June,Sowing,Clayey loam soil with good water retention,High water requirement 150-200cm annually,Muriate of Potash 0-0-60 60kg/ha,Tricyclazole 75WP for blast disease,Apply Farm Yard Manure 10-12 tons/ha before transplanting,Bacterial leaf blight in warm weather
Telangana,Maize,Rabi,November,February,Fruiting,Sandy loam with good aeration,Avoid water stress during grain filling,Zinc sulphate 25kg/ha in deficient soils,Carbofuran 3G at whorl stage,Vermicompost 3-4 tons/ha,Charcoal rot at maturity
Himachal Pradesh,Wheat,Rabi,November,February,Flowering,Sandy loam with good organic content,Avoid water logging which causes root damage,NPK 12-32-16 complete mixture,Tebuconazole 2DS for Karnal bunt,FYM 8-10 tons/ha incorporated before sowing,Loose smut seed-borne disease
Bihar,Maize,Kharif,June,September,Fruiting,Alluvial soil of river basins,Avoid water stress during grain filling,DAP 150kg/ha at basal dose,Cypermethrin 25EC for stem borer,Vermicompost 3-4 tons/ha,Downy mildew systemic infection
Manipur,Rice,Rabi,October,February,Sowing,Red laterite soil with adequate irrigation,Drip irrigation in System of Rice Intensification (SRI),DAP 18-46-0 100kg/ha as basal,Imidacloprid 17.8SL systemic insecticide,Apply Farm Yard Manure 10-12 tons/ha before transplanting,Sheath blight in humid conditions
Telangana,Rice,Rabi,November,February,Maturity,Alluvial soil rich in organic matter,Flooded fields during growing season with 5-10cm standing water,NPK 20-20-0 complex mixture,Cartap hydrochloride 50SP for BPH and WBPH,Crop rotation with pulses to fix nitrogen,Sheath blight in humid conditions
Uttarakhand,Wheat,Rabi,November,March,Flowering,Sandy loam with good organic content,"5-6 critical irrigations: CRI, tillering, jointing, flowering, milk, dough stages",Urea 130kg/ha for nitrogen supply,Quinalphos 25EC for termite prevention,Azotobacter biofertilizer for N fixation,Loose smut seed-borne disease
West Bengal,Potato,Zaid,February,June,Flowering,Well-drained soil pH 5.5-6.5,Light frequent irrigation 8-10 times,NPK 19-19-19 complex fertilizer,Carbendazim 50WP for dry rot,Neem cake 500kg/ha at planting,Late blight Phytophthora infestans devastating
Andhra Pradesh,Rice,Rabi,October,March,Vegetative,Alluvial soil rich in organic matter,Flooded fields during growing season with 5-10cm standing water,Muriate of Potash 0-0-60 60kg/ha,Chlorpyrifos 20EC for stem borer and leaf folder,Green manuring with Dhaincha or Sesbania for nitrogen,Bacterial leaf blight in warm weather
Gujarat,Groundnut,Rabi,October,March,Sowing,Well-drained alluvial soil pH 6-7,Moderate requirement 50-75cm,Potash 50kg/ha in deficient soils,Thiamethoxam 25WG systemic,Rhizobium culture inoculation mandatory,Rosette disease aphid transmitted
Tripura,Cotton,Rabi,October,March,Fruiting,Deep sandy loam well-drained,Drip irrigation most efficient method,NPK 14-35-14 at recommended doses,Acetamiprid 20SP for whitefly and jassids,Intercropping with pulses or marigold,Wilt disease causing wilting and death
Kerala,Rice,Zaid,March,June,Germination,Red laterite soil with adequate irrigation,Alternate wetting and drying to save 25-30% water,Zinc sulphate 25kg/ha in deficient soils,Imidacloprid 17.8SL systemic insecticide,Apply Farm Yard Manure 10-12 tons/ha before transplanting,Tungro virus spread by leafhoppers
Goa,Coconut,Kharif,June,September,Germination,Coastal sandy loam ideal,High requirement 130-200cm,Rock phosphate in acidic soils,Neem oil for black headed caterpillar,Green manuring with legumes,Bud rot fungal disease
Jharkhand,Wheat,Zaid,February,June,Vegetative,Deep alluvial soil of Indo-Gangetic plains,Avoid water logging which causes root damage,Muriate of Potash 40kg/ha for grain quality,Mancozeb 75WP broad spectrum fungicide,Crop rotation with legumes for nitrogen,Root rot in waterlogged conditions
Sikkim,Rice,Kharif,July,November,Germination,Alluvial soil rich in organic matter,Flooded fields during growing season with 5-10cm standing water,NPK 20-20-0 complex mixture,Cartap hydrochloride 50SP for BPH and WBPH,Green manuring with Dhaincha or Sesbania for nitrogen,Brown spot causing yield reduction
Nagaland,Rice,Zaid,March,June,Germination,Alluvial soil rich in organic matter,Alternate wetting and drying to save 25-30% water,NPK 20-20-0 complex mixture,Imidacloprid 17.8SL systemic insecticide,Vermicompost 5 tons/ha for soil health,Bacterial leaf blight in warm weather
Kerala,Coffee,Kharif,June,November,Germination,Well-drained acidic soil,Blossom irrigation,NPK 20-20-20,Chlorpyrifos for white stem borer,Mulching,Coffee rust
Goa,Rice,Rabi,November,March,Flowering,Red laterite soil with adequate irrigation,Drip irrigation in System of Rice Intensification (SRI),NPK 20-20-0 complex mixture,Carbofuran 3G granules for gall midge control,Green manuring with Dhaincha or Sesbania for nitrogen,Sheath blight in humid conditions
Telangana,Cotton,Kharif,July,September,Flowering,Deep sandy loam well-drained,Drip irrigation most efficient method,Urea in 3-4 split doses total 150kg/ha,Chlorpyrifos 20EC broad spectrum,FYM 10 tons/ha before sowing,Wilt disease causing wilting and death
Haryana,Rice,Zaid,March,June,Sowing,Red laterite soil with adequate irrigation,Drip irrigation in System of Rice Intensification (SRI),Zinc sulphate 25kg/ha in deficient soils,Carbofuran 3G granules for gall midge control,Green manuring with Dhaincha or Sesbania for nitrogen,False smut during flowering stage
Kerala,Spices,Zaid,February,May,Flowering,Laterite soil,Moderate rainfall,Organic manure preferred,Neem-based sprays,Mulching,Rhizome rot
Chhattisgarh,Rice,Zaid,February,June,Maturity,Clayey loam soil with good water retention,High water requirement 150-200cm annually,Muriate of Potash 0-0-60 60kg/ha,Imidacloprid 17.8SL systemic insecticide,Neem cake 200kg/ha as soil amendment,Sheath blight in humid conditions
Rajasthan,Wheat,Zaid,February,June,Maturity,Sandy loam with good organic content,Avoid water logging which causes root damage,NPK 12-32-16 complete mixture,Chlorpyrifos 20EC 2ml/L for aphid control,Neem-based pesticides for pest management,Leaf blight complex
Jharkhand,Wheat,Rabi,October,February,Maturity,Well-drained loamy soil pH 6-7.5,"5-6 critical irrigations: CRI, tillering, jointing, flowering, milk, dough stages",DAP 120kg/ha at sowing time,Chlorpyrifos 20EC 2ml/L for aphid control,Azotobacter biofertilizer for N fixation,Black rust in warmer conditions
Tripura,Rice,Kharif,June,November,Vegetative,Clayey loam soil with good water retention,High water requirement 150-200cm annually,NPK 20-20-0 complex mixture,Tricyclazole 75WP for blast disease,Apply Farm Yard Manure 10-12 tons/ha before transplanting,Blast disease affecting leaves and panicles
Odisha,Jute,Kharif,July,September,Flowering,Loamy soil with good drainage,High rainfall crop 150-200cm,Urea 60kg/ha,Neem-based sprays,FYM 10 tons/ha,Root rot
Tripura,Cotton,Kharif,July,September,Flowering,Deep sandy loam well-drained,10-12 irrigations in non-rainy season,Boron 10kg/ha and Zinc 25kg/ha micronutrients,Acetamiprid 20SP for whitefly and jassids,Bt cotton varieties for bollworm resistance,Root rot in heavy soils
Nagaland,Pulses,Zaid,February,May,Sowing,Red and black soils suitable,Low to moderate 35-50cm,Low nitrogen 20kg N/ha,Dimethoate 30EC systemic,Crop rotation improves soil nitrogen,Rust orange pustules on leaves
Jharkhand,Oilseeds,Zaid,February,May,Maturity,Well-drained black soil,Critical at flowering,Sulphur 30kg/ha,Quinalphos 25EC,Neem cake 500kg/ha,White rust
Telangana,Maize,Rabi,November,February,Germination,Black soil with proper drainage facilities,Critical at tasseling and silking stages,Potash 60kg/ha for strong stalks,Cypermethrin 25EC for stem borer,Trichoderma viride for disease control,Common rust orange pustules
Tripura,Vegetables,Zaid,March,June,Sowing,Well-drained loamy soil,Drip irrigation preferred,Compost and FYM 20 tons/ha,Neem oil for aphids,Vermicompost,Damping off
West Bengal,Mustard,Rabi,October,March,Fruiting,Sandy loam to clay loam,Avoid excess moisture causing lodging,Sulphur 40-60kg/ha very important,Cypermethrin 25EC for caterpillars,FYM 8-10 tons/ha before sowing,White rust Albugo candida pustules
Himachal Pradesh,Rice,Kharif,July,September,Germination,Clayey loam soil with good water retention,Alternate wetting and drying to save 25-30% water,Urea 46% N 120kg/ha in split doses,Cartap hydrochloride 50SP for BPH and WBPH,Green manuring with Dhaincha or Sesbania for nitrogen,Blast disease affecting leaves and panicles
Tamil Nadu,Coconut,Rabi,October,February,Maturity,Red loam with good drainage pH 5.5-7,High requirement 130-200cm,Organic manure 25kg/palm,Imidacloprid for mite control,Vermicompost 10kg/palm,Bud rot fungal disease
Andhra Pradesh,Groundnut,Kharif,June,September,Sowing,Well-drained alluvial soil pH 6-7,Critical at pegging and pod formation,Low nitrogen 25kg N/ha legume,Chlorpyrifos 20EC for white grub,FYM 5-7 tons/ha before sowing,Stem rot Sclerotium rolfsii
Tamil Nadu,Cotton,Kharif,July,September,Germination,Clay loam pH 6-8,10-12 irrigations in non-rainy season,Single Super Phosphate 375kg/ha for root growth,Emamectin benzoate 5SG for bollworm complex,Bt cotton varieties for bollworm resistance,Wilt disease causing wilting and death
Punjab,Cotton,Zaid,March,June,Sowing,Clay loam pH 6-8,10-12 irrigations in non-rainy season,Muriate of Potash 60kg/ha for fiber quality,Acetamiprid 20SP for whitefly and jassids,Pheromone traps for bollworm monitoring,Wilt disease causing wilting and death
Sikkim,Maize,Kharif,July,September,Fruiting,Alluvial soil of river basins,Moderate requirement 50-75cm,Zinc sulphate 25kg/ha in deficient soils,Imidacloprid 70WG for aphids and leafhoppers,Crop rotation with legumes,Downy mildew systemic infection
Rajasthan,Mustard,Zaid,February,June,Sowing,Well-drained black soil,Avoid excess moisture causing lodging,Potash 40kg/ha for oilseed,Malathion 50EC for aphids,Crop rotation with cereals,Sclerotinia rot stem canker
Jharkhand,Maize,Rabi,October,February,Maturity,Black soil with proper drainage facilities,Moderate requirement 50-75cm,DAP 150kg/ha at basal dose,Imidacloprid 70WG for aphids and leafhoppers,Vermicompost 3-4 tons/ha,Maydis leaf blight causing lesions
Andhra Pradesh,Chilli,Zaid,March,May,Fruiting,Red loam suitable for chilli,Drip irrigation most recommended,Potash important 125kg/ha quality,Imidacloprid 17.8SL for thrips and mites,Neem cake 1 ton/ha at planting,Bacterial wilt Ralstonia solanacearum
Meghalaya,Rice,Zaid,February,June,Maturity,Alluvial soil rich in organic matter,High water requirement 150-200cm annually,NPK 20-20-0 complex mixture,Imidacloprid 17.8SL systemic insecticide,Crop rotation with pulses to fix nitrogen,Bacterial leaf blight in warm weather
Haryana,Mustard,Rabi,November,March,Fruiting,Sandy loam to clay loam,Avoid excess moisture causing lodging,DAP/SSP 150kg/ha phosphorus,Cypermethrin 25EC for caterpillars,Sulphur through organic sources important,Alternaria blight most destructive
Uttarakhand,Pulses,Zaid,February,May,Germination,Clay loam in irrigated areas,Critical at flowering and pod formation,Low nitrogen 20kg N/ha,Triazophos 40EC for caterpillars,FYM 5 tons/ha light application,Powdery mildew white coating
Rajasthan,Wheat,Rabi,October,March,Sowing,Deep alluvial soil of Indo-Gangetic plains,"5-6 critical irrigations: CRI, tillering, jointing, flowering, milk, dough stages",NPK 12-32-16 complete mixture,Propiconazole 25EC for rust diseases,FYM 8-10 tons/ha incorporated before sowing,Root rot in waterlogged conditions
Maharashtra,Cotton,Zaid,March,June,Flowering,Red soil with organic amendments,10-12 irrigations in non-rainy season,Urea in 3-4 split doses total 150kg/ha,Thiamethoxam 25WG systemic insecticide,FYM 10 tons/ha before sowing,Root rot in heavy soils
Maharashtra,Jowar,Kharif,July,September,Vegetative,Red loam soil,Drought tolerant,DAP 100kg/ha,Neem oil,Crop rotation,Anthracnose
Madhya Pradesh,Soybean,Kharif,July,October,Fruiting,Black cotton soil ideal,Moderate requirement 60-90cm,Low nitrogen 25kg N/ha nitrogen-fixing,Quinalphos 25EC for girdle beetle and caterpillars,Neem cake application 500kg/ha,Rust Phakopsora pachyrhizi major disease
Assam,Oilseeds,Rabi,November,February,Maturity,Well-drained black soil,Low to moderate water,DAP 120kg/ha,Quinalphos 25EC,Crop rotation,Alternaria blight
Sikkim,Maize,Kharif,July,September,Flowering,Alluvial soil of river basins,4-5 irrigations through growing season,Potash 60kg/ha for strong stalks,Imidacloprid 70WG for aphids and leafhoppers,Trichoderma viride for disease control,Stalk rot weakening stems
Bihar,Wheat,Rabi,November,March,Maturity,Deep alluvial soil of Indo-Gangetic plains,Moderate requirement 45-65cm through season,Urea 130kg/ha for nitrogen supply,Tebuconazole 2DS for Karnal bunt,Azotobacter biofertilizer for N fixation,Powdery mildew in dense canopy
Assam,Rice,Rabi,November,March,Flowering,Black cotton soil in deltaic regions,Drip irrigation in System of Rice Intensification (SRI),Urea 46% N 120kg/ha in split doses,Cartap hydrochloride 50SP for BPH and WBPH,Neem cake 200kg/ha as soil amendment,Brown spot causing yield reduction
Uttarakhand,Tea,Zaid,March,June,Vegetative,Well-drained hill soil,Frequent light irrigation,High nitrogen requirement,Copper fungicides,Vermicompost,Blister blight
Haryana,Cotton,Rabi,November,February,Germination,Red soil with organic amendments,10-12 irrigations in non-rainy season,Boron 10kg/ha and Zinc 25kg/ha micronutrients,Emamectin benzoate 5SG for bollworm complex,Pheromone traps for bollworm monitoring,Wilt disease causing wilting and death
Jharkhand,Rice,Rabi,October,February,Flowering,Alluvial soil rich in organic matter,High water requirement 150-200cm annually,DAP 18-46-0 100kg/ha as basal,Tricyclazole 75WP for blast disease,Neem cake 200kg/ha as soil amendment,Tungro virus spread by leafhoppers
Puducherry,Rice,Zaid,March,June,Sowing,Black cotton soil in deltaic regions,Alternate wetting and drying to save 25-30% water,NPK 20-20-0 complex mixture,Carbofuran 3G granules for gall midge control,Crop rotation with pulses to fix nitrogen,Tungro virus spread by leafhoppers
Madhya Pradesh,Rice,Kharif,July,October,Germination,Alluvial soil rich in organic matter,Alternate wetting and drying to save 25-30% water,Muriate of Potash 0-0-60 60kg/ha,Imidacloprid 17.8SL systemic insecticide,Crop rotation with pulses to fix nitrogen,Brown spot causing yield reduction
Kerala,Rubber,Kharif,July,September,Flowering,Laterite soil,High rainfall 200-300cm,NPK 12-12-12,Copper fungicides,Cover crops,Powdery mildew
Uttar Pradesh,Wheat,Rabi,October,March,Vegetative,Deep alluvial soil of Indo-Gangetic plains,Sprinkler irrigation for water efficiency,NPK 12-32-16 complete mixture,Quinalphos 25EC for termite prevention,Compost application 5 tons/ha,Leaf blight complex
Karnataka,Arecanut,Rabi,November,March,Sowing,Well-drained red loam,High moisture requirement,NPK 100:40:140 g/palm/year,Chlorpyrifos for spindle bug,Mulching,Bud rot
Jammu and Kashmir,Wheat,Zaid,March,June,Sowing,Clay loam in irrigated areas,Avoid water logging which causes root damage,Zinc sulphate 25kg/ha in deficient alkaline soils,Quinalphos 25EC for termite prevention,FYM 8-10 tons/ha incorporated before sowing,Karnal bunt quarantine disease
Assam,Tea,Rabi,November,March,Flowering,Acidic loam soil pH 4.5-5.5,High rainfall 200-300cm,High nitrogen requirement,Copper fungicides,Vermicompost,Die back
Arunachal Pradesh,Fruits,Zaid,February,June,Fruiting,Red loam and alluvial soil,Moderate irrigation,FYM 20-25 kg/tree,Chlorpyrifos for fruit flies,Organic mulching,Fruit rot
Nagaland,Millet,Rabi,October,February,Fruiting,Sandy loam,Rainfed,Urea 40kg/ha,Neem oil,Low input crop,Blast
Uttarakhand,Rice,Rabi,November,February,Flowering,Alluvial soil rich in organic matter,Flooded fields during growing season with 5-10cm standing water,Zinc sulphate 25kg/ha in deficient soils,Imidacloprid 17.8SL systemic insecticide,Vermicompost 5 tons/ha for soil health,Blast disease affecting leaves and panicles
Punjab,Sugarcane,Kharif,June,November,Flowering,Alluvial soil of river valleys,High requirement 200-250cm annually,"Micronutrients Fe, Zn, Mn for healthy growth",Chlorpyrifos 20EC for termite and root borer,Green manuring with leguminous crops,Red rot most destructive disease
Meghalaya,Rice,Kharif,July,October,Flowering,Red laterite soil with adequate irrigation,High water requirement 150-200cm annually,Zinc sulphate 25kg/ha in deficient soils,Imidacloprid 17.8SL systemic insecticide,Crop rotation with pulses to fix nitrogen,Bacterial leaf blight in warm weather
West Bengal,Potato,Zaid,February,June,Flowering,Well-drained soil pH 5.5-6.5,Light frequent irrigation 8-10 times,Calcium and magnesium for quality,Imidacloprid 17.8SL for aphid vectors,Neem cake 500kg/ha at planting,Leaf roll virus aphid transmitted
Jharkhand,Pulses,Rabi,November,February,Vegetative,Red and black soils suitable,1-2 protective irrigations,Phosphorus important DAP 100kg/ha,Quinalphos 25EC for pod borer complex,Neem-based pesticides safe,Powdery mildew white coating
Bihar,Pulses,Rabi,October,February,Fruiting,Sandy loam with moderate fertility,1-2 protective irrigations,Sulphur 20-30kg/ha for oilseeds,Triazophos 40EC for caterpillars,FYM 5 tons/ha light application,Yellow mosaic virus whitefly transmitted
Chhattisgarh,Maize,Zaid,March,June,Vegetative,Well-drained loamy soil pH 5.5-7.5,Moderate requirement 50-75cm,Potash 60kg/ha for strong stalks,Carbofuran 3G at whorl stage,Trichoderma viride for disease control,Charcoal rot at maturity
Rajasthan,Mustard,Rabi,October,March,Sowing,Sandy loam to clay loam,Avoid excess moisture causing lodging,Potash 40kg/ha for oilseed,Malathion 50EC for aphids,Crop rotation with cereals,Powdery mildew white coating
Rajasthan,Barley,Kharif,July,November,Vegetative,Well-drained loam,Low to moderate,Urea 60kg/ha,Propiconazole for leaf rust,Crop rotation,Stripe rust
Punjab,Rice,Kharif,July,October,Flowering,Red laterite soil with adequate irrigation,Alternate wetting and drying to save 25-30% water,Urea 46% N 120kg/ha in split doses,Cartap hydrochloride 50SP for BPH and WBPH,Vermicompost 5 tons/ha for soil health,Sheath blight in humid conditions
Bihar,Rice,Kharif,June,September,Germination,Alluvial soil rich in organic matter,Drip irrigation in System of Rice Intensification (SRI),Urea 46% N 120kg/ha in split doses,Cartap hydrochloride 50SP for BPH and WBPH,Vermicompost 5 tons/ha for soil health,False smut during flowering stage
Kerala,Rubber,Zaid,March,May,Germination,Well-drained loam,High rainfall 200-300cm,NPK 12-12-12,Copper fungicides,Mulching,Powdery mildew
Rajasthan,Wheat,Kharif,July,September,Germination,Well-drained loamy soil pH 6-7.5,Sprinkler irrigation for water efficiency,Muriate of Potash 40kg/ha for grain quality,Quinalphos 25EC for termite prevention,Crop rotation with legumes for nitrogen,Karnal bunt quarantine disease
Chhattisgarh,Pulses,Kharif,July,November,Fruiting,Red and black soils suitable,Critical at flowering and pod formation,Sulphur 20-30kg/ha for oilseeds,Dimethoate 30EC systemic,Crop rotation improves soil nitrogen,Yellow mosaic virus whitefly transmitted
Sikkim,Rice,Rabi,October,February,Flowering,Black cotton soil in deltaic regions,Alternate wetting and drying to save 25-30% water,NPK 20-20-0 complex mixture,Tricyclazole 75WP for blast disease,Crop rotation with pulses to fix nitrogen,Blast disease affecting leaves and panicles
Jammu and Kashmir,Wheat,Zaid,February,June,Fruiting,Sandy loam with good organic content,Sprinkler irrigation for water efficiency,NPK 12-32-16 complete mixture,Mancozeb 75WP broad spectrum fungicide,Neem-based pesticides for pest management,Yellow rust in cool humid weather
Punjab,Cotton,Zaid,February,May,Vegetative,Black cotton soil (Regur) ideal for cotton,Moderate requirement 70-90cm per season,Muriate of Potash 60kg/ha for fiber quality,Chlorpyrifos 20EC broad spectrum,Neem oil 3% spray for sucking pests,Grey mildew in humid conditions
Andhra Pradesh,Cotton,Kharif,July,October,Flowering,Red soil with organic amendments,Critical at flowering and boll formation stages,NPK 14-35-14 at recommended doses,Thiamethoxam 25WG systemic insecticide,Intercropping with pulses or marigold,Wilt disease causing wilting and death
Uttar Pradesh,Mustard,Rabi,November,March,Germination,Alluvial soil of plains,Avoid excess moisture causing lodging,Sulphur 40-60kg/ha very important,Dimethoate 30EC systemic for aphids,Vermicompost 4 tons/ha,Sclerotinia rot stem canker
Jharkhand,Rice,Zaid,February,May,Fruiting,Red laterite soil with adequate irrigation,Drip irrigation in System of Rice Intensification (SRI),Zinc sulphate 25kg/ha in deficient soils,Imidacloprid 17.8SL systemic insecticide,Crop rotation with pulses to fix nitrogen,Tungro virus spread by leafhoppers
Mizoram,Rice,Zaid,March,May,Germination,Alluvial soil rich in organic matter,Alternate wetting and drying to save 25-30% water,NPK 20-20-0 complex mixture,Carbofuran 3G granules for gall midge control,Vermicompost 5 tons/ha for soil health,Tungro virus spread by leafhoppers
Andhra Pradesh,Rice,Zaid,February,June,Maturity,Red laterite soil with adequate irrigation,Flooded fields during growing season with 5-10cm standing water,DAP 18-46-0 100kg/ha as basal,Tricyclazole 75WP for blast disease,Neem cake 200kg/ha as soil amendment,Tungro virus spread by leafhoppers
Tamil Nadu,Rice,Zaid,February,May,Flowering,Alluvial soil rich in organic matter,High water requirement 150-200cm annually,Muriate of Potash 0-0-60 60kg/ha,Carbofuran 3G granules for gall midge control,Vermicompost 5 tons/ha for soil health,Bacterial leaf blight in warm weather
Haryana,Cotton,Zaid,February,June,Germination,Deep sandy loam well-drained,10-12 irrigations in non-rainy season,Muriate of Potash 60kg/ha for fiber quality,Emamectin benzoate 5SG for bollworm complex,Bt cotton varieties for bollworm resistance,Grey mildew in humid conditions
Chhattisgarh,Sugarcane,Zaid,February,May,Flowering,Red loam with irrigation facilities,Frequent irrigation every 7-10 days in summer,NPK 15-15-15 balanced fertilizer,Imidacloprid 17.8SL for aphids and whitefly,Green manuring with leguminous crops,Smut producing whip-like structures
Jharkhand,Rice,Kharif,June,September,Flowering,Black cotton soil in deltaic regions,High water requirement 150-200cm annually,Muriate of Potash 0-0-60 60kg/ha,Tricyclazole 75WP for blast disease,Crop rotation with pulses to fix nitrogen,Sheath blight in humid conditions
Karnataka,Maize,Rabi,October,March,Fruiting,Sandy loam with good aeration,4-5 irrigations through growing season,Potash 60kg/ha for strong stalks,Imidacloprid 70WG for aphids and leafhoppers,Neem cake 200kg/ha soil application,Common rust orange pustules
Meghalaya,Ginger,Zaid,March,May,Fruiting,Laterite soil,High moisture but well drained,FYM 25 tons/ha,Neem-based pesticides,Trichoderma treatment,Soft rot
Puducherry,Rice,Zaid,March,May,Maturity,Black cotton soil in deltaic regions,Alternate wetting and drying to save 25-30% water,Muriate of Potash 0-0-60 60kg/ha,Chlorpyrifos 20EC for stem borer and leaf folder,Apply Farm Yard Manure 10-12 tons/ha before transplanting,Sheath blight in humid conditions
Uttar Pradesh,Rice,Zaid,February,May,Maturity,Alluvial soil rich in organic matter,Alternate wetting and drying to save 25-30% water,DAP 18-46-0 100kg/ha as basal,Chlorpyrifos 20EC for stem borer and leaf folder,Vermicompost 5 tons/ha for soil health,Brown spot causing yield reduction
Uttarakhand,Sugarcane,Zaid,February,June,Vegetative,Black cotton soil with good drainage,Frequent irrigation every 7-10 days in summer,DAP/SSP 200kg/ha phosphorus,Monocrotophos 36SL for top borer,Compost 25 tons/ha for soil enrichment,Red rot most destructive disease
Sikkim,Potato,Rabi,November,February,Sowing,Well-drained soil pH 5.5-6.5,Critical at tuber initiation and bulking,NPK 19-19-19 complex fertilizer,Imidacloprid 17.8SL for aphid vectors,Bordeaux mixture 1% for late blight,Black scurf and stem canker
Goa,Rice,Rabi,October,February,Sowing,Alluvial soil rich in organic matter,High water requirement 150-200cm annually,Zinc sulphate 25kg/ha in deficient soils,Chlorpyrifos 20EC for stem borer and leaf folder,Apply Farm Yard Manure 10-12 tons/ha before transplanting,Tungro virus spread by leafhoppers
Jharkhand,Wheat,Rabi,October,March,Fruiting,Well-drained loamy soil pH 6-7.5,Moderate requirement 45-65cm through season,Urea 130kg/ha for nitrogen supply,Chlorpyrifos 20EC 2ml/L for aphid control,Compost application 5 tons/ha,Brown rust most common rust disease
West Bengal,Jute,Rabi,November,March,Vegetative,Loamy soil with good drainage,High rainfall crop 150-200cm,Urea 60kg/ha,Neem-based sprays,Green manuring,Anthracnose
Bihar,Rice,Zaid,February,May,Flowering,Black cotton soil in deltaic regions,Drip irrigation in System of Rice Intensification (SRI),NPK 20-20-0 complex mixture,Tricyclazole 75WP for blast disease,Neem cake 200kg/ha as soil amendment,Sheath blight in humid conditions
Jammu and Kashmir,Wheat,Kharif,July,October,Flowering,Deep alluvial soil of Indo-Gangetic plains,Sprinkler irrigation for water efficiency,Urea 130kg/ha for nitrogen supply,Mancozeb 75WP broad spectrum fungicide,FYM 8-10 tons/ha incorporated before sowing,Loose smut seed-borne disease
Uttarakhand,Potato,Rabi,November,February,Sowing,Sandy loam well-drained friable,Drip irrigation very effective,DAP 130kg/ha at planting,Chlorpyrifos 20EC for cutworm,Crop rotation with cereals mandatory,Leaf roll virus aphid transmitted
Himachal Pradesh,Rice,Rabi,November,February,Flowering,Red laterite soil with adequate irrigation,High water requirement 150-200cm annually,Muriate of Potash 0-0-60 60kg/ha,Tricyclazole 75WP for blast disease,Crop rotation with pulses to fix nitrogen,Sheath blight in humid conditions
Maharashtra,Cotton,Zaid,February,May,Fruiting,Deep sandy loam well-drained,Moderate requirement 70-90cm per season,NPK 14-35-14 at recommended doses,Profenofos 50EC for sucking pests,Neem oil 3% spray for sucking pests,Alternaria leaf spot common disease
West Bengal,Jute,Rabi,October,February,Maturity,Alluvial soil of river basins,High rainfall crop 150-200cm,Potash 40kg/ha,Endosulfan alternatives for hairy caterpillar,Green manuring,Stem rot
Meghalaya,Rice,Zaid,March,May,Flowering,Red laterite soil with adequate irrigation,Alternate wetting and drying to save 25-30% water,DAP 18-46-0 100kg/ha as basal,Carbofuran 3G granules for gall midge control,Neem cake 200kg/ha as soil amendment,Brown spot causing yield reduction
Mizoram,Vegetables,Kharif,June,November,Fruiting,Well-drained loamy soil,Moderate frequent irrigation,Compost and FYM 20 tons/ha,Neem oil for aphids,Vermicompost,Damping off
Andhra Pradesh,Chilli,Zaid,March,May,Flowering,Red loam suitable for chilli,Moderate requirement 100-150cm,Potash important 125kg/ha quality,Acephate 75SP for mites and thrips,Panchagavya spray for growth,Anthracnose fruit rot Colletotrichum major
Assam,Tea,Zaid,February,June,Vegetative,Well-drained hill soil,High rainfall 200-300cm,NPK 20-10-10,Copper fungicides,Mulching with pruned leaves,Die back
Assam,Vegetables,Zaid,March,May,Fruiting,Well-drained loamy soil,Drip irrigation preferred,NPK 100:60:60 kg/ha,Spinosad for caterpillars,Crop rotation,Powdery mildew
Sikkim,Rice,Rabi,November,February,Maturity,Alluvial soil rich in organic matter,Drip irrigation in System of Rice Intensification (SRI),DAP 18-46-0 100kg/ha as basal,Imidacloprid 17.8SL systemic insecticide,Green manuring with Dhaincha or Sesbania for nitrogen,False smut during flowering stage
Bihar,Rice,Kharif,June,September,Fruiting,Alluvial soil rich in organic matter,Drip irrigation in System of Rice Intensification (SRI),DAP 18-46-0 100kg/ha as basal,Carbofuran 3G granules for gall midge control,Green manuring with Dhaincha or Sesbania for nitrogen,False smut during flowering stage
