crop_name,condition_type,threshold_min,threshold_max,parameter,advisory_message,priority,action_type
Banana,rainfall,50,200,rain_24h,Heavy rainfall alert. Avoid harvesting and ensure proper field drainage.,high,harvest_warning
Chickpea,rainfall,50,200,rain_24h,Heavy rainfall alert. Avoid harvesting and ensure proper field drainage.,high,harvest_warning
Turmeric,temperature,0,10,temp_min,Low temperature detected. Risk of cold stress. Use protective measures like covering crops.,medium,crop_protection
Papaya,rainfall,0,5,rain_24h,Low rainfall detected. Supplemental irrigation recommended.,medium,irrigation
Banana,temperature,0,10,temp_min,Low temperature detected. Risk of cold stress. Use protective measures like covering crops.,medium,crop_protection
Sunflower,temperature,0,10,temp_min,Low temperature detected. Risk of cold stress. Use protective measures like covering crops.,medium,crop_protection
Linseed,humidity,80,100,humidity,High humidity favors fungal disease development. Monitor crops and apply preventive fungicides.,high,disease_warning
Sesame,rainfall,50,200,rain_24h,Heavy rainfall alert. Avoid harvesting and ensure proper field drainage.,high,harvest_warning
Clove,rainfall,0,5,rain_24h,Low rainfall detected. Supplemental irrigation recommended.,medium,irrigation
Barley,rainfall,0,5,rain_24h,Low rainfall detected. Supplemental irrigation recommended.,medium,irrigation
Sugarcane,rainfall,0,5,rain_24h,Low rainfall detected. Supplemental irrigation recommended.,medium,irrigation
Potato,soil_moisture,0,30,soil_moisture,Low soil moisture detected. Immediate irrigation is required to avoid crop stress.,high,irrigation
Cotton,rainfall,50,200,rain_24h,Heavy rainfall alert. Avoid harvesting and ensure proper field drainage.,high,harvest_warning
Potato,soil_moisture,0,30,soil_moisture,Low soil moisture detected. Immediate irrigation is required to avoid crop stress.,high,irrigation
Capsicum,soil_moisture,0,30,soil_moisture,Low soil moisture detected. Immediate irrigation is required to avoid crop stress.,high,irrigation
Ginger,humidity,80,100,humidity,High humidity favors fungal disease development. Monitor crops and apply preventive fungicides.,high,disease_warning
Pearl Millet,soil_moisture,0,30,soil_moisture,Low soil moisture detected. Immediate irrigation is required to avoid crop stress.,high,irrigation
Ginger,temperature,0,10,temp_min,Low temperature detected. Risk of cold stress. Use protective measures like covering crops.,medium,crop_protection
Barley,rainfall,50,200,rain_24h,Heavy rainfall alert. Avoid harvesting and ensure proper field drainage.,high,harvest_warning
Cumin,soil_moisture,0,30,soil_moisture,Low soil moisture detected. Immediate irrigation is required to avoid crop stress.,high,irrigation
Spinach,wind_speed,20,60,wind_speed,Strong winds expected. Avoid pesticide spraying and support tall crops.,medium,spray_warning
Papaya,temperature,0,10,temp_min,Low temperature detected. Risk of cold stress. Use protective measures like covering crops.,medium,crop_protection
Cabbage,soil_moisture,70,100,soil_moisture,Excess soil moisture detected. Risk of root rot. Improve drainage.,medium,drainage
Banana,wind_speed,20,60,wind_speed,Strong winds expected. Avoid pesticide spraying and support tall crops.,medium,spray_warning
Potato,humidity,80,100,humidity,High humidity favors fungal disease development. Monitor crops and apply preventive fungicides.,high,disease_warning
Pigeon Pea,wind_speed,20,60,wind_speed,Strong winds expected. Avoid pesticide spraying and support tall crops.,medium,spray_warning
Finger Millet,soil_moisture,0,30,soil_moisture,Low soil moisture detected. Immediate irrigation is required to avoid crop stress.,high,irrigation
Groundnut,temperature,0,10,temp_min,Low temperature detected. Risk of cold stress. Use protective measures like covering crops.,medium,crop_protection
Cardamom,soil_moisture,70,100,soil_moisture,Excess soil moisture detected. Risk of root rot. Improve drainage.,medium,drainage
Carrot,temperature,0,10,temp_min,Low temperature detected. Risk of cold stress. Use protective measures like covering crops.,medium,crop_protection
Sugarcane,wind_speed,20,60,wind_speed,Strong winds expected. Avoid pesticide spraying and support tall crops.,medium,spray_warning
Cauliflower,soil_moisture,70,100,soil_moisture,Excess soil moisture detected. Risk of root rot. Improve drainage.,medium,drainage
Linseed,humidity,80,100,humidity,High humidity favors fungal disease development. Monitor crops and apply preventive fungicides.,high,disease_warning
Chickpea,rainfall,50,200,rain_24h,Heavy rainfall alert. Avoid harvesting and ensure proper field drainage.,high,harvest_warning
Okra,rainfall,50,200,rain_24h,Heavy rainfall alert. Avoid harvesting and ensure proper field drainage.,high,harvest_warning
Coffee,humidity,80,100,humidity,High humidity favors fungal disease development. Monitor crops and apply preventive fungicides.,high,disease_warning
Grapes,rainfall,0,5,rain_24h,Low rainfall detected. Supplemental irrigation recommended.,medium,irrigation
Garlic,rainfall,50,200,rain_24h,Heavy rainfall alert. Avoid harvesting and ensure proper field drainage.,high,harvest_warning
Coffee,soil_moisture,70,100,soil_moisture,Excess soil moisture detected. Risk of root rot. Improve drainage.,medium,drainage
Linseed,temperature,35,48,temp_max,High temperature stress likely. Increase irrigation and apply mulching to reduce evapotranspiration.,high,irrigation
Finger Millet,rainfall,50,200,rain_24h,Heavy rainfall alert. Avoid harvesting and ensure proper field drainage.,high,harvest_warning
Onion,soil_moisture,0,30,soil_moisture,Low soil moisture detected. Immediate irrigation is required to avoid crop stress.,high,irrigation
Green Gram,temperature,0,10,temp_min,Low temperature detected. Risk of cold stress. Use protective measures like covering crops.,medium,crop_protection
Ginger,soil_moisture,0,30,soil_moisture,Low soil moisture detected. Immediate irrigation is required to avoid crop stress.,high,irrigation
Tea,soil_moisture,0,30,soil_moisture,Low soil moisture detected. Immediate irrigation is required to avoid crop stress.,high,irrigation
Coriander,wind_speed,20,60,wind_speed,Strong winds expected. Avoid pesticide spraying and support tall crops.,medium,spray_warning
Castor,wind_speed,20,60,wind_speed,Strong winds expected. Avoid pesticide spraying and support tall crops.,medium,spray_warning
Pineapple,temperature,35,48,temp_max,High temperature stress likely. Increase irrigation and apply mulching to reduce evapotranspiration.,high,irrigation
Chickpea,humidity,80,100,humidity,High humidity favors fungal disease development. Monitor crops and apply preventive fungicides.,high,disease_warning
Rice,temperature,35,48,temp_max,High temperature stress likely. Increase irrigation and apply mulching to reduce evapotranspiration.,high,irrigation
Cotton,rainfall,0,5,rain_24h,Low rainfall detected. Supplemental irrigation recommended.,medium,irrigation
Cumin,temperature,35,48,temp_max,High temperature stress likely. Increase irrigation and apply mulching to reduce evapotranspiration.,high,irrigation
Coffee,soil_moisture,70,100,soil_moisture,Excess soil moisture detected. Risk of root rot. Improve drainage.,medium,drainage
Tea,wind_speed,20,60,wind_speed,Strong winds expected. Avoid pesticide spraying and support tall crops.,medium,spray_warning
Wheat,soil_moisture,70,100,soil_moisture,Excess soil moisture detected. Risk of root rot. Improve drainage.,medium,drainage
Tomato,humidity,80,100,humidity,High humidity favors fungal disease development. Monitor crops and apply preventive fungicides.,high,disease_warning
Spinach,temperature,35,48,temp_max,High temperature stress likely. Increase irrigation and apply mulching to reduce evapotranspiration.,high,irrigation
Cabbage,rainfall,0,5,rain_24h,Low rainfall detected. Supplemental irrigation recommended.,medium,irrigation
Turmeric,rainfall,0,5,rain_24h,Low rainfall detected. Supplemental irrigation recommended.,medium,irrigation
Green Gram,wind_speed,20,60,wind_speed,Strong winds expected. Avoid pesticide spraying and support tall crops.,medium,spray_warning
Mustard,humidity,80,100,humidity,High humidity favors fungal disease development. Monitor crops and apply preventive fungicides.,high,disease_warning
Groundnut,temperature,35,48,temp_max,High temperature stress likely. Increase irrigation and apply mulching to reduce evapotranspiration.,high,irrigation
Cauliflower,rainfall,0,5,rain_24h,Low rainfall detected. Supplemental irrigation recommended.,medium,irrigation
Coconut,humidity,80,100,humidity,High humidity favors fungal disease development. Monitor crops and apply preventive fungicides.,high,disease_warning
Black Gram,humidity,80,100,humidity,High humidity favors fungal disease development. Monitor crops and apply preventive fungicides.,high,disease_warning
Fenugreek,temperature,35,48,temp_max,High temperature stress likely. Increase irrigation and apply mulching to reduce evapotranspiration.,high,irrigation
Jute,temperature,35,48,temp_max,High temperature stress likely. Increase irrigation and apply mulching to reduce evapotranspiration.,high,irrigation
Sugarcane,temperature,0,10,temp_min,Low temperature detected. Risk of cold stress. Use protective measures like covering crops.,medium,crop_protection
Finger Millet,humidity,80,100,humidity,High humidity favors fungal disease development. Monitor crops and apply preventive fungicides.,high,disease_warning
Cotton,soil_moisture,70,100,soil_moisture,Excess soil moisture detected. Risk of root rot. Improve drainage.,medium,drainage
Wheat,temperature,35,48,temp_max,High temperature stress likely. Increase irrigation and apply mulching to reduce evapotranspiration.,high,irrigation
Sorghum,rainfall,0,5,rain_24h,Low rainfall detected. Supplemental irrigation recommended.,medium,irrigation
Chilli,wind_speed,20,60,wind_speed,Strong winds expected. Avoid pesticide spraying and support tall crops.,medium,spray_warning
Ginger,temperature,0,10,temp_min,Low temperature detected. Risk of cold stress. Use protective measures like covering crops.,medium,crop_protection
Brinjal,soil_moisture,70,100,soil_moisture,Excess soil moisture detected. Risk of root rot. Improve drainage.,medium,drainage
Black Gram,soil_moisture,70,100,soil_moisture,Excess soil moisture detected. Risk of root rot. Improve drainage.,medium,drainage
Spinach,wind_speed,20,60,wind_speed,Strong winds expected. Avoid pesticide spraying and support tall crops.,medium,spray_warning
Maize,soil_moisture,0,30,soil_moisture,Low soil moisture detected. Immediate irrigation is required to avoid crop stress.,high,irrigation
Orange,soil_moisture,0,30,soil_moisture,Low soil moisture detected. Immediate irrigation is required to avoid crop stress.,high,irrigation
Grapes,wind_speed,20,60,wind_speed,Strong winds expected. Avoid pesticide spraying and support tall crops.,medium,spray_warning
Cauliflower,humidity,80,100,humidity,High humidity favors fungal disease development. Monitor crops and apply preventive fungicides.,high,disease_warning
Tomato,humidity,80,100,humidity,High humidity favors fungal disease development. Monitor crops and apply preventive fungicides.,high,disease_warning
Mustard,soil_moisture,70,100,soil_moisture,Excess soil moisture detected. Risk of root rot. Improve drainage.,medium,drainage
Brinjal,soil_moisture,0,30,soil_moisture,Low soil moisture detected. Immediate irrigation is required to avoid crop stress.,high,irrigation
Turmeric,rainfall,0,5,rain_24h,Low rainfall detected. Supplemental irrigation recommended.,medium,irrigation
Sesame,temperature,35,48,temp_max,High temperature stress likely. Increase irrigation and apply mulching to reduce evapotranspiration.,high,irrigation
Tomato,temperature,0,10,temp_min,Low temperature detected. Risk of cold stress. Use protective measures like covering crops.,medium,crop_protection
Field Pea,rainfall,0,5,rain_24h,Low rainfall detected. Supplemental irrigation recommended.,medium,irrigation
Sugarcane,rainfall,0,5,rain_24h,Low rainfall detected. Supplemental irrigation recommended.,medium,irrigation
Rubber,soil_moisture,70,100,soil_moisture,Excess soil moisture detected. Risk of root rot. Improve drainage.,medium,drainage
Garlic,rainfall,50,200,rain_24h,Heavy rainfall alert. Avoid harvesting and ensure proper field drainage.,high,harvest_warning
Jute,soil_moisture,70,100,soil_moisture,Excess soil moisture detected. Risk of root rot. Improve drainage.,medium,drainage
Little Millet,temperature,0,10,temp_min,Low temperature detected. Risk of cold stress. Use protective measures like covering crops.,medium,crop_protection
Mustard,temperature,35,48,temp_max,High temperature stress likely. Increase irrigation and apply mulching to reduce evapotranspiration.,high,irrigation
Field Pea,temperature,0,10,temp_min,Low temperature detected. Risk of cold stress. Use protective measures like covering crops.,medium,crop_protection
Cotton,rainfall,0,5,rain_24h,Low rainfall detected. Supplemental irrigation recommended.,medium,irrigation
Tea,rainfall,0,5,rain_24h,Low rainfall detected. Supplemental irrigation recommended.,medium,irrigation
Jute,wind_speed,20,60,wind_speed,Strong winds expected. Avoid pesticide spraying and support tall crops.,medium,spray_warning
Fenugreek,rainfall,50,200,rain_24h,Heavy rainfall alert. Avoid harvesting and ensure proper field drainage.,high,harvest_warning
Grapes,rainfall,50,200,rain_24h,Heavy rainfall alert. Avoid harvesting and ensure proper field drainage.,high,harvest_warning
Soybean,temperature,35,48,temp_max,High temperature stress likely. Increase irrigation and apply mulching to reduce evapotranspiration.,high,irrigation
Spinach,rainfall,50,200,rain_24h,Heavy rainfall alert. Avoid harvesting and ensure proper field drainage.,high,harvest_warning
Chickpea,wind_speed,20,60,wind_speed,Strong winds expected. Avoid pesticide spraying and support tall crops.,medium,spray_warning
Pineapple,soil_moisture,70,100,soil_moisture,Excess soil moisture detected. Risk of root rot. Improve drainage.,medium,drainage
Sesame,wind_speed,20,60,wind_speed,Strong winds expected. Avoid pesticide spraying and support tall crops.,medium,spray_warning
Mustard,soil_moisture,70,100,soil_moisture,Excess soil moisture detected. Risk of root rot. Improve drainage.,medium,drainage
Papaya,temperature,0,10,temp_min,Low temperature detected. Risk of cold stress. Use protective measures like covering crops.,medium,crop_protection
Kodo Millet,temperature,35,48,temp_max,High temperature stress likely. Increase irrigation and apply mulching to reduce evapotranspiration.,high,irrigation
Grapes,temperature,35,48,temp_max,High temperature stress likely. Increase irrigation and apply mulching to reduce evapotranspiration.,high,irrigation
Cotton,soil_moisture,70,100,soil_moisture,Excess soil moisture detected. Risk of root rot. Improve drainage.,medium,drainage
Field Pea,humidity,80,100,humidity,High humidity favors fungal disease development. Monitor crops and apply preventive fungicides.,high,disease_warning
Banana,soil_moisture,70,100,soil_moisture,Excess soil moisture detected. Risk of root rot. Improve drainage.,medium,drainage
Arecanut,wind_speed,20,60,wind_speed,Strong winds expected. Avoid pesticide spraying and support tall crops.,medium,spray_warning
Barnyard Millet,soil_moisture,0,30,soil_moisture,Low soil moisture detected. Immediate irrigation is required to avoid crop stress.,high,irrigation
Black Gram,wind_speed,20,60,wind_speed,Strong winds expected. Avoid pesticide spraying and support tall crops.,medium,spray_warning
Turmeric,rainfall,50,200,rain_24h,Heavy rainfall alert. Avoid harvesting and ensure proper field drainage.,high,harvest_warning
Okra,soil_moisture,70,100,soil_moisture,Excess soil moisture detected. Risk of root rot. Improve drainage.,medium,drainage
Coffee,soil_moisture,70,100,soil_moisture,Excess soil moisture detected. Risk of root rot. Improve drainage.,medium,drainage
Okra,rainfall,0,5,rain_24h,Low rainfall detected. Supplemental irrigation recommended.,medium,irrigation
Cumin,soil_moisture,70,100,soil_moisture,Excess soil moisture detected. Risk of root rot. Improve drainage.,medium,drainage
Cauliflower,soil_moisture,70,100,soil_moisture,Excess soil moisture detected. Risk of root rot. Improve drainage.,medium,drainage
Jute,rainfall,0,5,rain_24h,Low rainfall detected. Supplemental irrigation recommended.,medium,irrigation
Onion,humidity,80,100,humidity,High humidity favors fungal disease development. Monitor crops and apply preventive fungicides.,high,disease_warning
Radish,humidity,80,100,humidity,High humidity favors fungal disease development. Monitor crops and apply preventive fungicides.,high,disease_warning
Foxtail Millet,temperature,0,10,temp_min,Low temperature detected. Risk of cold stress. Use protective measures like covering crops.,medium,crop_protection
Apple,temperature,0,10,temp_min,Low temperature detected. Risk of cold stress. Use protective measures like covering crops.,medium,crop_protection
Coriander,wind_speed,20,60,wind_speed,Strong winds expected. Avoid pesticide spraying and support tall crops.,medium,spray_warning
Onion,temperature,35,48,temp_max,High temperature stress likely. Increase irrigation and apply mulching to reduce evapotranspiration.,high,irrigation
Apple,wind_speed,20,60,wind_speed,Strong winds expected. Avoid pesticide spraying and support tall crops.,medium,spray_warning
Spinach,humidity,80,100,humidity,High humidity favors fungal disease development. Monitor crops and apply preventive fungicides.,high,disease_warning
Rubber,temperature,35,48,temp_max,High temperature stress likely. Increase irrigation and apply mulching to reduce evapotranspiration.,high,irrigation
Lentil,humidity,80,100,humidity,High humidity favors fungal disease development. Monitor crops and apply preventive fungicides.,high,disease_warning
Field Pea,humidity,80,100,humidity,High humidity favors fungal disease development. Monitor crops and apply preventive fungicides.,high,disease_warning
Banana,soil_moisture,70,100,soil_moisture,Excess soil moisture detected. Risk of root rot. Improve drainage.,medium,drainage
Field Pea,rainfall,0,5,rain_24h,Low rainfall detected. Supplemental irrigation recommended.,medium,irrigation
Linseed,rainfall,50,200,rain_24h,Heavy rainfall alert. Avoid harvesting and ensure proper field drainage.,high,harvest_warning
Apple,humidity,80,100,humidity,High humidity favors fungal disease development. Monitor crops and apply preventive fungicides.,high,disease_warning
Barley,rainfall,50,200,rain_24h,Heavy rainfall alert. Avoid harvesting and ensure proper field drainage.,high,harvest_warning
Soybean,temperature,35,48,temp_max,High temperature stress likely. Increase irrigation and apply mulching to reduce evapotranspiration.,high,irrigation
Soybean,temperature,0,10,temp_min,Low temperature detected. Risk of cold stress. Use protective measures like covering crops.,medium,crop_protection
Fenugreek,rainfall,50,200,rain_24h,Heavy rainfall alert. Avoid harvesting and ensure proper field drainage.,high,harvest_warning
Chilli,humidity,80,100,humidity,High humidity favors fungal disease development. Monitor crops and apply preventive fungicides.,high,disease_warning
Soybean,humidity,80,100,humidity,High humidity favors fungal disease development. Monitor crops and apply preventive fungicides.,high,disease_warning
Tea,soil_moisture,70,100,soil_moisture,Excess soil moisture detected. Risk of root rot. Improve drainage.,medium,drainage
Sunflower,temperature,35,48,temp_max,High temperature stress likely. Increase irrigation and apply mulching to reduce evapotranspiration.,high,irrigation
Coconut,humidity,80,100,humidity,High humidity favors fungal disease development. Monitor crops and apply preventive fungicides.,high,disease_warning
Sesame,rainfall,0,5,rain_24h,Low rainfall detected. Supplemental irrigation recommended.,medium,irrigation
Pigeon Pea,soil_moisture,0,30,soil_moisture,Low soil moisture detected. Immediate irrigation is required to avoid crop stress.,high,irrigation
Carrot,soil_moisture,0,30,soil_moisture,Low soil moisture detected. Immediate irrigation is required to avoid crop stress.,high,irrigation
Barley,wind_speed,20,60,wind_speed,Strong winds expected. Avoid pesticide spraying and support tall crops.,medium,spray_warning
Finger Millet,rainfall,50,200,rain_24h,Heavy rainfall alert. Avoid harvesting and ensure proper field drainage.,high,harvest_warning
Orange,rainfall,0,5,rain_24h,Low rainfall detected. Supplemental irrigation recommended.,medium,irrigation
Barnyard Millet,rainfall,0,5,rain_24h,Low rainfall detected. Supplemental irrigation recommended.,medium,irrigation
Black Gram,soil_moisture,70,100,soil_moisture,Excess soil moisture detected. Risk of root rot. Improve drainage.,medium,drainage
Mango,soil_moisture,70,100,soil_moisture,Excess soil moisture detected. Risk of root rot. Improve drainage.,medium,drainage
Wheat,temperature,0,10,temp_min,Low temperature detected. Risk of cold stress. Use protective measures like covering crops.,medium,crop_protection
Apple,rainfall,50,200,rain_24h,Heavy rainfall alert. Avoid harvesting and ensure proper field drainage.,high,harvest_warning
Lentil,temperature,35,48,temp_max,High temperature stress likely. Increase irrigation and apply mulching to reduce evapotranspiration.,high,irrigation
Banana,soil_moisture,70,100,soil_moisture,Excess soil moisture detected. Risk of root rot. Improve drainage.,medium,drainage
Cumin,wind_speed,20,60,wind_speed,Strong winds expected. Avoid pesticide spraying and support tall crops.,medium,spray_warning
Potato,soil_moisture,70,100,soil_moisture,Excess soil moisture detected. Risk of root rot. Improve drainage.,medium,drainage
Apple,temperature,0,10,temp_min,Low temperature detected. Risk of cold stress. Use protective measures like covering crops.,medium,crop_protection
Arecanut,wind_speed,20,60,wind_speed,Strong winds expected. Avoid pesticide spraying and support tall crops.,medium,spray_warning
Rubber,rainfall,50,200,rain_24h,Heavy rainfall alert. Avoid harvesting and ensure proper field drainage.,high,harvest_warning
Cotton,humidity,80,100,humidity,High humidity favors fungal disease development. Monitor crops and apply preventive fungicides.,high,disease_warning
Cumin,wind_speed,20,60,wind_speed,Strong winds expected. Avoid pesticide spraying and support tall crops.,medium,spray_warning
Soybean,rainfall,0,5,rain_24h,Low rainfall detected. Supplemental irrigation recommended.,medium,irrigation
Groundnut,soil_moisture,0,30,soil_moisture,Low soil moisture detected. Immediate irrigation is required to avoid crop stress.,high,irrigation
Pearl Millet,wind_speed,20,60,wind_speed,Strong winds expected. Avoid pesticide spraying and support tall crops.,medium,spray_warning
Onion,humidity,80,100,humidity,High humidity favors fungal disease development. Monitor crops and apply preventive fungicides.,high,disease_warning
Rice,rainfall,0,5,rain_24h,Low rainfall detected. Supplemental irrigation recommended.,medium,irrigation
Orange,soil_moisture,0,30,soil_moisture,Low soil moisture detected. Immediate irrigation is required to avoid crop stress.,high,irrigation
Coffee,rainfall,50,200,rain_24h,Heavy rainfall alert. Avoid harvesting and ensure proper field drainage.,high,harvest_warning
Kodo Millet,soil_moisture,0,30,soil_moisture,Low soil moisture detected. Immediate irrigation is required to avoid crop stress.,high,irrigation
Onion,temperature,35,48,temp_max,High temperature stress likely. Increase irrigation and apply mulching to reduce evapotranspiration.,high,irrigation
Orange,rainfall,50,200,rain_24h,Heavy rainfall alert. Avoid harvesting and ensure proper field drainage.,high,harvest_warning
Kodo Millet,soil_moisture,70,100,soil_moisture,Excess soil moisture detected. Risk of root rot. Improve drainage.,medium,drainage
Cabbage,wind_speed,20,60,wind_speed,Strong winds expected. Avoid pesticide spraying and support tall crops.,medium,spray_warning
Cardamom,wind_speed,20,60,wind_speed,Strong winds expected. Avoid pesticide spraying and support tall crops.,medium,spray_warning
Oats,rainfall,0,5,rain_24h,Low rainfall detected. Supplemental irrigation recommended.,medium,irrigation
Clove,soil_moisture,0,30,soil_moisture,Low soil moisture detected. Immediate irrigation is required to avoid crop stress.,high,irrigation
Turmeric,humidity,80,100,humidity,High humidity favors fungal disease development. Monitor crops and apply preventive fungicides.,high,disease_warning
Mustard,soil_moisture,0,30,soil_moisture,Low soil moisture detected. Immediate irrigation is required to avoid crop stress.,high,irrigation
Wheat,rainfall,0,5,rain_24h,Low rainfall detected. Supplemental irrigation recommended.,medium,irrigation
Lentil,rainfall,50,200,rain_24h,Heavy rainfall alert. Avoid harvesting and ensure proper field drainage.,high,harvest_warning
Mustard,humidity,80,100,humidity,High humidity favors fungal disease development. Monitor crops and apply preventive fungicides.,high,disease_warning
Sesame,soil_moisture,70,100,soil_moisture,Excess soil moisture detected. Risk of root rot. Improve drainage.,medium,drainage
Field Pea,temperature,35,48,temp_max,High temperature stress likely. Increase irrigation and apply mulching to reduce evapotranspiration.,high,irrigation
Sesame,temperature,0,10,temp_min,Low temperature detected. Risk of cold stress. Use protective measures like covering crops.,medium,crop_protection
Cotton,temperature,0,10,temp_min,Low temperature detected. Risk of cold stress. Use protective measures like covering crops.,medium,crop_protection
Maize,soil_moisture,70,100,soil_moisture,Excess soil moisture detected. Risk of root rot. Improve drainage.,medium,drainage
Sesame,temperature,0,10,temp_min,Low temperature detected. Risk of cold stress. Use protective measures like covering crops.,medium,crop_protection
Cumin,rainfall,50,200,rain_24h,Heavy rainfall alert. Avoid harvesting and ensure proper field drainage.,high,harvest_warning
Turmeric,soil_moisture,0,30,soil_moisture,Low soil moisture detected. Immediate irrigation is required to avoid crop stress.,high,irrigation
Linseed,temperature,35,48,temp_max,High temperature stress likely. Increase irrigation and apply mulching to reduce evapotranspiration.,high,irrigation
Cardamom,rainfall,0,5,rain_24h,Low rainfall detected. Supplemental irrigation recommended.,medium,irrigation
Sorghum,rainfall,50,200,rain_24h,Heavy rainfall alert. Avoid harvesting and ensure proper field drainage.,high,harvest_warning
Barnyard Millet,temperature,0,10,temp_min,Low temperature detected. Risk of cold stress. Use protective measures like covering crops.,medium,crop_protection
Cotton,temperature,35,48,temp_max,High temperature stress likely. Increase irrigation and apply mulching to reduce evapotranspiration.,high,irrigation
Groundnut,wind_speed,20,60,wind_speed,Strong winds expected. Avoid pesticide spraying and support tall crops.,medium,spray_warning
Tea,soil_moisture,0,30,soil_moisture,Low soil moisture detected. Immediate irrigation is required to avoid crop stress.,high,irrigation
Groundnut,wind_speed,20,60,wind_speed,Strong winds expected. Avoid pesticide spraying and support tall crops.,medium,spray_warning
Soybean,humidity,80,100,humidity,High humidity favors fungal disease development. Monitor crops and apply preventive fungicides.,high,disease_warning
Potato,soil_moisture,70,100,soil_moisture,Excess soil moisture detected. Risk of root rot. Improve drainage.,medium,drainage
Cauliflower,rainfall,0,5,rain_24h,Low rainfall detected. Supplemental irrigation recommended.,medium,irrigation
Coconut,humidity,80,100,humidity,High humidity favors fungal disease development. Monitor crops and apply preventive fungicides.,high,disease_warning
Clove,rainfall,50,200,rain_24h,Heavy rainfall alert. Avoid harvesting and ensure proper field drainage.,high,harvest_warning
Finger Millet,rainfall,50,200,rain_24h,Heavy rainfall alert. Avoid harvesting and ensure proper field drainage.,high,harvest_warning
Spinach,rainfall,0,5,rain_24h,Low rainfall detected. Supplemental irrigation recommended.,medium,irrigation
Field Pea,soil_moisture,70,100,soil_moisture,Excess soil moisture detected. Risk of root rot. Improve drainage.,medium,drainage
Barnyard Millet,temperature,35,48,temp_max,High temperature stress likely. Increase irrigation and apply mulching to reduce evapotranspiration.,high,irrigation
Clove,temperature,35,48,temp_max,High temperature stress likely. Increase irrigation and apply mulching to reduce evapotranspiration.,high,irrigation
Cumin,soil_moisture,0,30,soil_moisture,Low soil moisture detected. Immediate irrigation is required to avoid crop stress.,high,irrigation
Pearl Millet,temperature,35,48,temp_max,High temperature stress likely. Increase irrigation and apply mulching to reduce evapotranspiration.,high,irrigation
Turmeric,temperature,35,48,temp_max,High temperature stress likely. Increase irrigation and apply mulching to reduce evapotranspiration.,high,irrigation
Field Pea,rainfall,0,5,rain_24h,Low rainfall detected. Supplemental irrigation recommended.,medium,irrigation
Tomato,temperature,35,48,temp_max,High temperature stress likely. Increase irrigation and apply mulching to reduce evapotranspiration.,high,irrigation
Ginger,temperature,0,10,temp_min,Low temperature detected. Risk of cold stress. Use protective measures like covering crops.,medium,crop_protection
Capsicum,wind_speed,20,60,wind_speed,Strong winds expected. Avoid pesticide spraying and support tall crops.,medium,spray_warning
Coriander,wind_speed,20,60,wind_speed,Strong winds expected. Avoid pesticide spraying and support tall crops.,medium,spray_warning
Jute,rainfall,0,5,rain_24h,Low rainfall detected. Supplemental irrigation recommended.,medium,irrigation
Linseed,temperature,35,48,temp_max,High temperature stress likely. Increase irrigation and apply mulching to reduce evapotranspiration.,high,irrigation
Foxtail Millet,wind_speed,20,60,wind_speed,Strong winds expected. Avoid pesticide spraying and support tall crops.,medium,spray_warning
Lentil,temperature,35,48,temp_max,High temperature stress likely. Increase irrigation and apply mulching to reduce evapotranspiration.,high,irrigation
Radish,rainfall,50,200,rain_24h,Heavy rainfall alert. Avoid harvesting and ensure proper field drainage.,high,harvest_warning
Okra,wind_speed,20,60,wind_speed,Strong winds expected. Avoid pesticide spraying and support tall crops.,medium,spray_warning
Potato,humidity,80,100,humidity,High humidity favors fungal disease development. Monitor crops and apply preventive fungicides.,high,disease_warning
Soybean,humidity,80,100,humidity,High humidity favors fungal disease development. Monitor crops and apply preventive fungicides.,high,disease_warning
Sesame,humidity,80,100,humidity,High humidity favors fungal disease development. Monitor crops and apply preventive fungicides.,high,disease_warning
Clove,wind_speed,20,60,wind_speed,Strong winds expected. Avoid pesticide spraying and support tall crops.,medium,spray_warning
Clove,rainfall,50,200,rain_24h,Heavy rainfall alert. Avoid harvesting and ensure proper field drainage.,high,harvest_warning
Barley,soil_moisture,0,30,soil_moisture,Low soil moisture detected. Immediate irrigation is required to avoid crop stress.,high,irrigation
Chilli,temperature,35,48,temp_max,High temperature stress likely. Increase irrigation and apply mulching to reduce evapotranspiration.,high,irrigation
Papaya,temperature,35,48,temp_max,High temperature stress likely. Increase irrigation and apply mulching to reduce evapotranspiration.,high,irrigation
Turmeric,temperature,35,48,temp_max,High temperature stress likely. Increase irrigation and apply mulching to reduce evapotranspiration.,high,irrigation
Tomato,temperature,35,48,temp_max,High temperature stress likely. Increase irrigation and apply mulching to reduce evapotranspiration.,high,irrigation
Chilli,rainfall,0,5,rain_24h,Low rainfall detected. Supplemental irrigation recommended.,medium,irrigation
Jute,rainfall,0,5,rain_24h,Low rainfall detected. Supplemental irrigation recommended.,medium,irrigation
Groundnut,temperature,0,10,temp_min,Low temperature detected. Risk of cold stress. Use protective measures like covering crops.,medium,crop_protection
Coconut,humidity,80,100,humidity,High humidity favors fungal disease development. Monitor crops and apply preventive fungicides.,high,disease_warning
Cumin,rainfall,50,200,rain_24h,Heavy rainfall alert. Avoid harvesting and ensure proper field drainage.,high,harvest_warning
Sunflower,rainfall,0,5,rain_24h,Low rainfall detected. Supplemental irrigation recommended.,medium,irrigation
Lentil,humidity,80,100,humidity,High humidity favors fungal disease development. Monitor crops and apply preventive fungicides.,high,disease_warning
